Word,Documents
acrescentou,"[(2, 1), (18, 1), (26, 1), (49, 1), (60, 1), (63, 1), (64, 1), (70, 1)]"
fácil,"[(2, 1)]"
ter,"[(2, 1), (4, 1), (7, 1), (9, 1), (10, 1), (12, 2), (13, 1), (15, 2), (20, 2), (21, 2), (23, 1), (34, 1), (36, 1), (37, 3), (43, 1), (48, 1), (59, 2), (63, 1), (66, 1), (67, 4), (70, 1), (73, 1)]"
precisa,"[(2, 1), (7, 1), (8, 1), (21, 2), (34, 2), (55, 1), (59, 2), (67, 1)]"
tocante,"[(2, 1)]"
ver,"[(2, 1), (34, 1), (37, 2), (45, 2)]"
bancários,"[(2, 1)]"
junto,"[(2, 1), (28, 1), (34, 2), (64, 1), (70, 1)]"
trabalho,"[(2, 1), (5, 2), (29, 1), (32, 1), (34, 1), (35, 1), (38, 1), (60, 2), (66, 1)]"
quantos,"[(2, 1)]"
empregos,"[(2, 1), (8, 1)]"
geramos,"[(2, 1)]"
menos,"[(2, 1), (4, 1), (8, 1), (9, 2), (12, 2), (33, 1), (38, 1)]"
mês,"[(2, 1), (4, 3), (6, 1), (9, 2), (10, 1), (21, 1), (26, 1), (33, 1), (39, 1), (50, 1), (56, 1), (57, 1), (59, 2)]"
outubro,"[(2, 1), (6, 1), (29, 1), (59, 1)]"
ano,"[(2, 1), (4, 4), (6, 1), (8, 2), (9, 5), (10, 8), (11, 2), (29, 2), (31, 1), (32, 3), (33, 1), (35, 3), (36, 1), (38, 1), (53, 1), (55, 1), (57, 1), (59, 1), (66, 1)]"
passado,"[(2, 1), (4, 1), (9, 3), (10, 3), (11, 1), (19, 1), (21, 1), (29, 1), (30, 1), (33, 1), (34, 1), (37, 1), (45, 1), (51, 1), (56, 1), (57, 1), (59, 1)]"
eleito,"[(2, 1), (15, 1), (58, 1), (59, 1)]"
bandeirantes,"[(2, 1)]"
pretendia,"[(2, 1)]"
mudar,"[(2, 1), (20, 1), (37, 1), (45, 1), (59, 1), (62, 1)]"
entidade,"[(2, 1), (5, 1)]"
calcular,"[(2, 1)]"
porque,"[(2, 1), (6, 1), (9, 1), (12, 2), (18, 1), (20, 1), (32, 2), (33, 1), (34, 3), (37, 3), (45, 1), (56, 1), (58, 2), (59, 1), (66, 2)]"
beneficiários,"[(2, 2)]"
bolsa,"[(2, 2), (6, 1), (8, 1)]"
família,"[(2, 2), (35, 1), (37, 1), (53, 2)]"
contabilizados,"[(2, 1)]"
empregados,"[(2, 2), (31, 1)]"
nota,"[(2, 1), (11, 1), (30, 2), (31, 1), (39, 1)]"
época,"[(2, 1), (12, 2), (13, 1), (38, 6), (51, 1), (56, 2), (59, 1), (63, 1)]"
levantamento,"[(2, 1), (60, 1)]"
segue,"[(2, 1), (55, 1), (59, 1), (62, 1), (66, 1), (73, 1)]"
padrões,"[(2, 1)]"
internacionais,"[(2, 1), (13, 1), (19, 1), (26, 1), (33, 1), (35, 1), (59, 1), (66, 1), (70, 1)]"
negou,"[(2, 1), (12, 1), (56, 1)]"
considerados,"[(2, 1), (33, 1)]"
equipe,"[(3, 1), (6, 1), (12, 2), (62, 1)]"
econ,"[(3, 1), (4, 1), (5, 1), (6, 1), (8, 2), (9, 1), (26, 1), (29, 2), (33, 1), (38, 1), (62, 1), (66, 2)]"
mica,"[(3, 1), (4, 1), (5, 1), (6, 1), (9, 1), (26, 1), (29, 1), (38, 1), (62, 1), (66, 1)]"
chefiada,"[(3, 1)]"
ministro,"[(3, 1), (6, 1), (8, 2), (11, 2), (12, 3), (14, 2), (15, 2), (18, 1), (25, 1), (27, 1), (28, 1), (32, 1), (50, 2), (52, 1), (55, 4), (56, 5), (57, 3), (58, 2), (60, 3), (61, 2), (62, 2), (63, 2), (65, 1), (66, 2), (67, 2), (68, 4), (71, 1), (74, 1), (75, 2)]"
